,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,MEMBER-SINCE,SEX,OCCUPATION-CODE,BLACK-LIST-CODE,BLACK-LIST-DATE,SPENDING-LIMIT,AVG-PAYMENTS,AVG-BALANCES,LAST-TRX-DATE,PY-AMT-CASH,YTD-AMT-CASH,YTD-MAX-BUCKET,PY-MAX-BUCKET,ACCOUNT-STATUS,CURRENT-BALANCE,BRANCH-CODE,AGE,AUTOMATIC-REPAYMENT,TARGET
79,79,79,79,01/10/1999,0,0,0,0,700000.0,22574.0,645787,1,150000,0,3,2,0.0,579793.0,168,49.0,1,1
80,80,80,80,01/10/1999,0,0,0,0,1000000.0,25025.0,863619,1,400000,0,0,0,0.0,837011.0,366,59.0,1,0
81,81,81,81,01/10/1999,1,0,1,14/03/2001,1000000.0,89855.0,312669,1,0,0,0,0,0.0,906618.0,65,33.0,1,0
82,82,82,82,01/10/1999,1,0,0,0,1000000.0,28817.0,880440,1,0,0,2,3,0.0,753888.0,65,51.0,1,1
83,83,83,83,01/10/1999,1,0,0,0,1000000.0,24750.0,948399,1,100000,0,0,0,0.0,917498.0,366,48.0,1,0
84,84,84,84,01/10/1999,1,0,0,0,1000000.0,40779.0,133416,1,0,500000,0,0,0.0,800869.0,169,46.0,1,0
85,85,85,85,01/10/1999,1,0,0,0,1000000.0,29920.0,693052,1,0,0,0,0,0.0,581111.0,169,57.0,1,0
86,86,86,86,01/10/1999,1,0,0,0,1000000.0,25477.0,845058,1,0,0,0,0,0.0,747078.0,169,49.0,1,0
87,87,87,87,01/10/1999,1,0,0,0,1000000.0,22417.0,881795,1,0,0,3,2,0.0,860674.0,167,37.0,0,1
88,88,88,88,01/10/1999,0,0,1,05/12/2000,1000000.0,25000.0,266997,1,0,0,0,7,0.0,906618.0,466,42.0,1,1
89,89,89,89,01/10/1999,0,0,0,0,500000.0,58583.0,334542,1,0,495000,0,0,0.0,49891.0,569,61.0,0,0
90,90,90,90,01/10/1999,0,0,0,0,1000000.0,26833.0,873684,1,0,0,0,2,0.0,805001.0,168,30.0,1,1
91,91,91,91,01/10/1999,1,0,0,0,1000000.0,26833.0,869514,1,0,0,0,2,0.0,804933.0,168,35.0,1,1
92,92,92,92,01/10/1999,1,0,1,26/06/2000,1000000.0,25253.0,0,1,0,0,0,5,0.0,906618.0,168,29.0,0,1
93,93,93,93,01/10/1999,1,0,0,0,1000000.0,29167.0,723285,1,0,0,3,3,0.0,605979.0,768,44.0,1,1
94,94,94,94,01/10/1999,0,0,0,0,1000000.0,26583.0,830892,1,0,0,0,0,0.0,745288.0,569,33.0,0,0
95,95,95,95,01/10/1999,1,0,0,0,1000000.0,29542.0,246470,1,500000,100000,0,2,0.0,238353.0,765,49.0,0,1
96,96,96,96,01/10/1999,1,0,0,0,1000000.0,24750.0,883955,1,0,0,0,0,0.0,830073.0,665,30.0,1,0
